,Event_Name,Venue,Addresses,Event_Date,Number_of_Attendees
16,Cash Cash,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",11 Oct 2019,0
17,Heaven Pride VIP Pre-Party,High Note Rooftop Bar,"53 14th St NE, Atlanta, GA 30309, USA",11 Oct 2019,0
18,Corona Electric Beach: Road To EDC Orlando feat. Dombresky,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",12 Oct 2019,3
19,Deep South x Kudzu Pride,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",12 Oct 2019,3
20,Vatican Shadow,"<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",17 Oct 2019,4
21,Kristian Nairn AKA Hodor: Rave Of Thrones,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",18 Oct 2019,3
22,"Pharmacy: Jensen Interceptor, Treppenwitz, Anonima, Evk95","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",18 Oct 2019,2
23,Illenium (DJ Set) Official After Party,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",18 Oct 2019,1
24,Banshee Late Night,"<a class=""cat-rev"" href=""/club.aspx?id=160619"" title=""Club profile of Banshee"">Banshee</a>"," 1271 Glenwood Ave SE, Atlanta, GA, 30316",18 Oct 2019,0
25,Tambor '10 Year Anniversary' Party,"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",19 Oct 2019,10
26,CUT Snake,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",19 Oct 2019,0
27,Swank,"<a class=""cat-rev"" href=""/club.aspx?id=173834"" title=""Club profile of Henry's Midtown Tavern"">Henry's Midtown Tavern</a>"," 132 10th St NE, Atlanta, GA 30309, USA",20 Oct 2019,2
0,Varhat,TBA Atlanta,000 TBA ATL,23 Oct 2019,0
1,Foolish Behaviour with Tankir,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",24 Oct 2019,2
2,Eli Brown & Mason Maynard: Private Label:,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",25 Oct 2019,3
3,Project B. Sunset Rooftop Party,"<a class=""cat-rev"" href=""/club.aspx?id=157241"" title=""Club profile of The Rooftop"">The Rooftop</a>", 421 Edgewood Ave. Atlanta GA 30312 USA,26 Oct 2019,13
4,Alley Cat Music Halloween Party,"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",26 Oct 2019,1
5,Whethan Club Tour,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",26 Oct 2019,1
6,Maribou State,"<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",29 Oct 2019,8
7,Lemuria Feat: DJ Hyperactive,"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",31 Oct 2019,3
8,Nicole Moudaber a Private Label Event,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",31 Oct 2019,10
9,"Black Coffee, Themba, & Ameer Brooks","<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",1 Nov 2019,4
10,Proper Taste: Feat. João & Elio Stereo,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",1 Nov 2019,2
11,Steve Bug (Grand Opening of Alley Cat Music Club),"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",2 Nov 2019,3
12,Skream Open To Close,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",2 Nov 2019,4
13,"Marsh [Anjunadeep, Special 4 Hour Set] - No Place Like, Atlanta","<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",2 Nov 2019,1
14,"The KVB, Numb.er, Pyramid Club at the EARL","<a class=""cat-rev"" href=""/club.aspx?id=17664"" title=""Club profile of The Earl"">The Earl</a>"," 488 Flat Shoals Avenue; East Atlanta, GA 30316; United States",5 Nov 2019,2
15,Common Circuits Festival,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",8 Nov 2019 ,5
16,Eptic: Flesh & Blood Tour with Tynan,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",8 Nov 2019,1
17,David Gtronic,"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",9 Nov 2019,3
18,Common Circuits Festival,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",8 Nov 2019 ,5
19,Chris Lake: Stay with Me Fall Tour,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",9 Nov 2019,4
20,Corey Jackson and Laura Indorf,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",9 Nov 2019,1
21,"Goopsteppa, Supertask, Ill Chill, Dollarsine","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",9 Nov 2019,0
22,Common Circuits Festival,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",8 Nov 2019 ,5
23,November Rose at Controllerise: Press Start,Monday Night Garage,"933 Lee St SW, Atlanta, GA 30310",11 Nov 2019,1
24,Pryda,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",14 Nov 2019,6
25,LTJ Bukem,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",14 Nov 2019,2
26,Wahine's Hideaway with The Funk District,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",15 Nov 2019,2
27,Cookie Monsta,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",15 Nov 2019,0
28,Tambor Party ATL [Nov 16],"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",16 Nov 2019,14
29,Fleetmac Wood presents Sea of Love Disco - Atlanta,"<a class=""cat-rev"" href=""/club.aspx?id=156556"" title=""Club profile of District Atlanta"">District Atlanta</a>"," 269 Armour Drive NE, Atlanta, GA 30324, USA",16 Nov 2019,3
30,Anstascia by Project B. [Sunset Party],"<a class=""cat-rev"" href=""/club.aspx?id=157241"" title=""Club profile of The Rooftop"">The Rooftop</a>", 421 Edgewood Ave. Atlanta GA 30312 USA,16 Nov 2019,9
31,Stroke,"<a class=""cat-rev"" href=""/club.aspx?id=176886"" title=""Club profile of The Mammal Gallery"">The Mammal Gallery</a>"," 682 Murphy Ave SW, #3064, Atlanta, Georgia 30310",16 Nov 2019,6
32,Psycho Disco,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",16 Nov 2019,3
33,Snbrn presented by Private Label,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",16 Nov 2019,1
34,"The Trifinity, Otto Von Schirach, Parrotice","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",16 Nov 2019,1
35,Banshee Late Night Pres. Laura Indorf,"<a class=""cat-rev"" href=""/club.aspx?id=160619"" title=""Club profile of Banshee"">Banshee</a>"," 1271 Glenwood Ave SE, Atlanta, GA, 30316",16 Nov 2019,1
36,"Zebbler Encanti Experience, Murkury, Octl_, Wan","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",20 Nov 2019,0
37,Paul Van Dyk Mission: Guiding Light,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",22 Nov 2019,4
38,"Club Soda Feat. Helix, Double Nil, + Taradactyl","<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",22 Nov 2019,1
39,"Sayer, Tiedye Ky, Juju Beats, Slzrd","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",22 Nov 2019,0
0,Varhat by Project B.,"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",23 Nov 2019,5
1,Varhat at Project B,TBA - Atlanta,To Be Announced,23 Nov 2019,3
2,Melt 4.0,"<a class=""cat-rev"" href=""/club.aspx?id=167059"" title=""Club profile of The Met"">The Met</a>"," 675 Metropolitan Pkwy SW #4000, Atlanta, GA 30310, USA",23 Nov 2019,3
3,Arty - Irisesp101 Learn to Believe,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",23 Nov 2019,0
4,Gesaffelstein,"<a class=""cat-rev"" href=""/club.aspx?id=136622"" title=""Club profile of Coca-Cola Roxy"">Coca-Cola Roxy</a>"," 800 Battery Avenue Southeast, Atlanta, GA 30339, United States",27 Nov 2019,10
5,Brick: The Songs of Ben Folds,"<a class=""cat-rev"" href=""/club.aspx?id=163637"" title=""Club profile of Buteco"">Buteco</a>"," 1039 Grant St SE suite c-10, Atlanta, GA 30315",27 Nov 2019,0
6,DKA Sisters of Turkey Goth Danse Party,"<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",28 Nov 2019,1
7,Duke Dumont presented by Private Label,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",29 Nov 2019,1
8,Art Department presented by Private Label,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",30 Nov 2019,7
9,Goth-Trad,"<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",30 Nov 2019,3
10,"Force Placement, Stefan Ringer, D2T","<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",30 Nov 2019,1
11,Plaid,"<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",5 Dec 2019,3
12,Claude Vonstroke,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",6 Dec 2019,7
13,"Pharmacy: Mor Elian, Dee Belvedere, Mull, Flohr B2B Charolastra, Yasmine","<a class=""cat-rev"" href=""/club.aspx?id=176886"" title=""Club profile of The Mammal Gallery"">The Mammal Gallery</a>"," 682 Murphy Ave SW, #3064, Atlanta, Georgia 30310",6 Dec 2019,4
14,Richie Hawtin presented by Private Label,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",7 Dec 2019,10
15,Lsdream and Shlump - Universal Wub Tour - Iris Esp101,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",7 Dec 2019,0
16,Electrichouse - House Music / Afrobeats / Hip-Hop / Soul Dance Party,Iconiq,"419 EDGEWOOD AVE ATLANTA, GA 30312",7 Dec 2019,0
17,The Lab Atlanta,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",11 Dec 2019,7
18,Teebs,"<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",12 Dec 2019,2
19,Gammer - Monstercat Uncaged Tour FT. Riot & Tokyo Machine,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",13 Dec 2019,1
20,Maksim (Resolute NYC),"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",14 Dec 2019,2
21,"Of the Trees, Integrate, Kromuh, Secret Recipe","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",14 Dec 2019,1
22,Space Laces Must Die! - Apocalypse Online Tour,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",14 Dec 2019,0
23,A Night with Paco Osuna,"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",15 Dec 2019,9
24,Snails World of Slime Tour Atlanta! Iris - Thursday December 19,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",19 Dec 2019,1
25,Lost In Sound,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",20 Dec 2019,3
26,"G-Rex, Zeke Beats","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",20 Dec 2019,2
27,Party Favor: Layers Envisioned,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",20 Dec 2019,1
28,Tambor Holiday Party with Osunlade Stan Zeff,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",21 Dec 2019,35
29,Green Velvet - Open To Close Set presented by Private Label,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",21 Dec 2019,6
30,Squnto - Megachop Tour - Iris Esp101 ,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",21 Dec 2019,1
31,Laura Indorf and Corey Jackson,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",21 Dec 2019,0
32,Excursions: Atlanta 2019,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",22 Dec 2019,8
0,Foolish Behaviour with Fülproof,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",26 Dec 2019,2
1,Make Room for Eli Escobar,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",27 Dec 2019,46
2,Chromeo: Blame It On The Boogie Tour W/ Goldroom (DJ Set) & Le Youth,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",27 Dec 2019,3
3,"Mersiv, Fryar, Kozmic, Andy Bruh","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",27 Dec 2019 ,0
4,Proper Taste: All Night Long,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",28 Dec 2019,3
5,Darude - Iris Esp101 Learn to Believe ,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",28 Dec 2019,2
6,Solardo presented by Private Label,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",28 Dec 2019,2
7,Randall M (Vatos Locos),"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",28 Dec 2019,2
8,"Mersiv, Fryar, Kozmic, Andy Bruh","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",27 Dec 2019 ,0
9,WE Bass,"<a class=""cat-rev"" href=""/club.aspx?id=166493"" title=""Club profile of Gallery 992"">Gallery 992</a>"," 992 Ralph David Abernathy Blvd, Atlanta, GA 30310, USA",28 Dec 2019,0
10,Above and Beyond ,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",29 Dec 2019,4
11,Sts9 2020 Visions 'Rave Spell',"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",30 Dec 2019,1
12,Gorgon City New Year's Eve presented Private Label,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",31 Dec 2019,2
13,Dada Life - Iris NYE 2020 - Tuesday December 31,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",31 Dec 2019,1
14,Poetry In Motion with Fülproof,"<a class=""cat-rev"" href=""/club.aspx?id=94051"" title=""Club profile of Union EAV"">Union EAV</a>"," 485 Flat Shoals Ave SE, Atlanta, Georgia 30316",4 Jan 2020,3
15,Local Love,"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",4 Jan 2020,2
16,Psycho Disco,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",10 Jan 2020,1
17,Chad Andrew and Tocayo,"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",11 Jan 2020,1
18,Atloc: B2B Massive - Iris Esp101 Learn to Believe - Sat Jan 11,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",11 Jan 2020,0
19,G Jones - Iris Esp101 Learn to Believe,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",16 Jan 2020,0
20,Markus Schulz,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",17 Jan 2020,3
21,Shiverz - Shut Down and Shell Tour - Wish Lounge ,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",17 Jan 2020,0
22,Walker & Royce presented by Private Label,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",18 Jan 2020,6
23,Davide Squllace,"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",18 Jan 2020,3
0,Foolish Behaviour with Rob Session,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",23 Jan 2020,1
1,Getter,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",24 Jan 2020,0
2,Tambor Party - 2020 Ancestral Gateway,"<a class=""cat-rev"" href=""/club.aspx?id=179901"" title=""Club profile of Parlor"">Parlor</a>"," 249 Peters St SW, Atlanta, GA 30313",25 Jan 2020,13
3,Stroke,"<a class=""cat-rev"" href=""/club.aspx?id=176886"" title=""Club profile of The Mammal Gallery"">The Mammal Gallery</a>"," 682 Murphy Ave SW, #3064, Atlanta, Georgia 30310",25 Jan 2020,2
4,DJ Tennis,"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",25 Jan 2020,6
5,No Mana - Wish Lounge,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",25 Jan 2020,1
6,Kai Wachi Live at Believe Music Hall (Atlanta) with Sam Lamar,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",25 Jan 2020,1
7,Diplo - Iris Esp101 Learn to Believe - Thursday January 30,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",30 Jan 2020,2
8,"Dmvu, Tvboo, Space Wizard, Klutch","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",31 Jan 2020,1
9,Elephante: Diamond Days & Club Nights,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",31 Jan 2020,0
10,Seth Troxler - Ravine Atlanta,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",1 Feb 2020,9
11,J. Phlip (Dirtybird),"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",1 Feb 2020,2
12,Marauda - Iris Esp101 Learn to Believe - Saturday February 1,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",1 Feb 2020,0
13,"Space Jesus, Tsuruda, Tiedye Ky, Onhell","<a class=""cat-rev"" href=""/club.aspx?id=11741"" title=""Club profile of Variety Playhouse"">Variety Playhouse</a>", Atlanta,6 Feb 2020,2
14,Proper Taste: All Night Long,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",7 Feb 2020,4
