,Event_Name,Venue,Addresses,Event_Date,Number_of_Attendees
7,Luttrell,"<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",17 Jan 2018,0
8,Mall Grab,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",19 Jan 2018,15
9,Melodie Debut by Atlast,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",20 Jan 2018,18
10,Expressions with Ash Lauryn & Stefan Ringer,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",20 Jan 2018,1
11,Mick Jenkins,"<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",20 Jan 2018,0
0,"Kll Smth, Vinja, Keota, Kozmic","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",25 Jan 2018,0
1,The Connection-Behind The Groove,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",26 Jan 2018,3
2,Audio Rover,"<a class=""cat-rev"" href=""/club.aspx?id=146714"" title=""Club profile of Revery: VR Bar"">Revery: VR Bar</a>"," 728 Monroe Dr. Suite C, Atlanta, Georgia 30308",27 Jan 2018,1
3,"Anika, Where Are We, Night Cleaner & Twins","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",1 Feb 2018,0
4,João and Elio Stereo,"<a class=""cat-rev"" href=""/club.aspx?id=10070"" title=""Club profile of Midcity"">Midcity</a>"," 845 Spring Street, Suite D1; Atlanta, GA 30316; United States",2 Feb 2018,1
5,Living Room Live,"<a class=""cat-rev"" href=""/club.aspx?id=31688"" title=""Club profile of W Atlanta Downtown"">W Atlanta Downtown</a>"," 45 Ivan Allen Jr. Blvd - 16th Floor, Atlanta, GA 30308",3 Feb 2018,1
6,"Body Control: Feat. Mr. Myoplast, Mesa, Steve Brown","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",7 Feb 2018,3
7,Cardio Locals Showcase // Tito Mazzetta + Bryan Armalavage,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",9 Feb 2018,8
8,Local Grind,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",9 Feb 2018,2
9,Audio Rover,"<a class=""cat-rev"" href=""/club.aspx?id=146714"" title=""Club profile of Revery: VR Bar"">Revery: VR Bar</a>"," 728 Monroe Dr. Suite C, Atlanta, Georgia 30308",9 Feb 2018,0
10,Project B. Showcase with Dj T. and Bobi Stevkovski,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",10 Feb 2018,28
